"seed","nind","size","seq","od","bias","maf","oaf","rho","ploidy","delta","pAB","pAb","paB","pab","updog_rho","polyrad_rho","uniform_rho","horse_rho"
189,10,100,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.937183196438942,0.935443400411874,0.913680898252607,0.91373321560169
76,1000,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.857704630012719,0.849546666948675,0.562362902449,0.445004383953982
118,10,100,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,1,1,0.996378380736296,0.996363021502541
163,10,10,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.88178602975405,0.877391924638661,0.742162485949968,0.732215692979743
159,10000,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.947915874518402,0.938551482398019,0.621666190705917,0.498980961675454
84,10,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,-0.353778821041306,-0.350635714783995,-0.222950643178532,-0.136189094262308
196,10000,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.859977372278562,0.85152335819183,0.563675672433021,0.450462417229362
64,10,100,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,1,1,1,1
154,100,100,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.807201993749437,0.806736167168041,0.790599497831719,0.790734963613355
60,10,10,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.754669419140902,0.750265875733013,0.602202071237748,0.477758294259371
69,100,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.707454255758479,0.700527087834824,0.459186073469543,0.396442641323527
92,10,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,1,1,0.796957781860187,0.577218322772749
161,1000,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.928739380243713,0.919720456331427,0.608341573424919,0.477956526811571
35,10,100,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.653282649162039,0.65242606756748,0.630878722391713,0.630879136807393
31,10000,100,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.903522328527246,0.903302719351886,0.890279738488856,0.888583698152845
